Name,ReleaseDate,Certificate,Rating,Runtime,Director,Genre,Grossing
The Happiest Day in the Life of Olli Mäki (Hymyilevä mies),"Apr 21, 2017",NR,3.8/5,93 minutes,Juho Kuosmanen,"Art House & International,Drama,Romance,Sports & Fitness",
The B-Side: Elsa Dorfman's Portrait Photography,"Jun 30, 2017",R,3.7/5,76 minutes,Errol Morris,Documentary,"$121,498"
Battle of the Sexes,"Sep 29, 2017",PG-13,3.6/5,121 minutes,"Jonathan Dayton,Valerie Faris","Comedy,Drama,Sports & Fitness","$12,552,907"
The Queen,"Oct 6, 2006",PG-13,3.5/5,103 minutes,Stephen Frears,Drama,"$56,222,759"
The Breadwinner,"Nov 17, 2017",PG-13,4.1/5,93 minutes,Nora Twomey,"Animation,Drama,Kids & Family","$228,056"
A Quiet Passion,"Apr 14, 2017",PG-13,3/5,126 minutes,Terence Davies,Drama,"$1,864,266"
Bombshell: The Hedy Lamarr Story,"Nov 24, 2017",NR,4.1/5,90 minutes,Alexandra Dean,Documentary,
The Last Laugh,"Mar 3, 2017",NR,4/5,90 minutes,Ferne Pearlstein,Documentary,
Ex Libris: New York Public Library,"Sep 13, 2017",NR,3.5/5,197 minutes,Frederick Wiseman,Documentary,"$42,021"
The Survivalist,"May 19, 2017",NR,3.5/5,104 minutes,Stephen Fingleton,"Art House & International,Drama,Mystery & Suspense,Science Fiction & Fantasy",
Dolores,"Sep 1, 2017",NR,4.1/5,98 minutes,Peter Bratt,Documentary,"$419,201"
Raw,"Mar 10, 2017",R,3.7/5,98 minutes,Julia Ducournau,Horror,"$508,425"
20th Century Women,"Jan 20, 2017",R,3.7/5,118 minutes,Mike Mills,"Comedy,Drama","$5,663,854"
"I, Daniel Blake","Jun 2, 2017",R,4.1/5,100 minutes,Ken Loach,"Art House & International,Drama","$252,282"
1945,"Nov 1, 2017",NR,4/5,91 minutes,Ferenc Torok,"Art House & International,Drama","$258,392"
In This Corner of the World (Kono sekai no katasumi ni),"Aug 11, 2017",PG-13,4.4/5,129 minutes,Sunao Katabuchi,"Animation,Art House & International,Drama",
Guardians of the Galaxy Vol. 2,"May 5, 2017",PG-13,4.2/5,137 minutes,James Gunn (II),"Action & Adventure,Comedy,Science Fiction & Fantasy","$389,804,217"
The Red Turtle (La tortue rouge),"Jan 20, 2017",PG,3.9/5,80 minutes,Michaël Dudok De Wit,"Animation,Art House & International","$920,057"
Quest,"Dec 8, 2017",NR,4.1/5,105 minutes,Jonathan Olshefski,Documentary,"$41,271"
Trophy,"Sep 8, 2017",NR,4/5,108 minutes,"Shaul Schwarz,Christina Clusiau",Documentary,"$19,744"
Step,"Aug 4, 2017",PG,4.2/5,83 minutes,Amanda Lipitz,Documentary,"$1,137,759"
The Meyerowitz Stories (New and Selected),"Oct 13, 2017",NR,3.6/5,,Noah Baumbach,"Comedy,Drama",
John Wick: Chapter 2,"Feb 10, 2017",R,4.1/5,122 minutes,Chad Stahelski,"Action & Adventure,Drama","$91,970,516"
Dina,"Oct 6, 2017",NR,4/5,101 minutes,"Antonio Santini,Dan Sickles",Documentary,"$90,873"
Menashe,"Jul 28, 2017",PG,3.5/5,81 minutes,Joshua Z. Weinstein,Drama,"$1,688,620"
Good Time,"Aug 25, 2017",R,3.8/5,100 minutes,"Benny Safdie,Joshua Safdie",Drama,"$1,999,047"
It,"Sep 8, 2017",R,4.1/5,135 minutes,Andy Muschietti,"Drama,Horror,Mystery & Suspense","$326,898,358"
Strong Island,"Sep 15, 2017",NR,3.4/5,107 minutes,,Documentary,
Whose Streets?,"Aug 11, 2017",R,3.7/5,100 minutes,Sabaah Folayan,Documentary,"$180,214"
After the Storm (Umi yori mo mada fukaku),"Mar 17, 2017",NR,3.8/5,117 minutes,Hirokazu Koreeda,"Art House & International,Drama","$270,210"
Your Name. (Kimi No Na Wa.),"Apr 7, 2017",PG,4.6/5,106 minutes,Makoto Shinkai,"Animation,Drama,Romance","$4,676,810"
Graduation (Bacalaureat),"Apr 7, 2017",R,3.8/5,127 minutes,Cristian Mungiu,"Art House & International,Drama","$175,975"
The Attack,"Jun 21, 2013",R,3.8/5,102 minutes,Ziad Doueiri,Drama,"$1,103,645"
The Patience Stone,"Aug 14, 2013",R,3.8/5,102 minutes,Atiq Rahimi,Drama,"$71,282"
Dawson City: Frozen Time,"Jun 9, 2017",NR,3.6/5,120 minutes,,Documentary,"$122,207"
Columbus,"Aug 4, 2017",NR,4/5,104 minutes,Kogonada,Drama,"$892,778"
Truman,"Apr 7, 2017",NR,3.9/5,,Cesc Gay,"Art House & International,Comedy,Drama","$208,799"
From Up On Poppy Hill,"Mar 15, 2013",PG,3.9/5,91 minutes,Goro Miyazaki,"Animation,Art House & International,Drama,Kids & Family","$696,519"
Happy People: A Year in the Taiga,"Jan 25, 2013",NR,3.8/5,94 minutes,"Werner Herzog,Dmitry Vasyukov","Art House & International,Documentary,Special Interest","$217,987"
Berberian Sound Studio,"Jun 14, 2013",NR,3.2/5,94 minutes,Peter Strickland,Horror,"$28,602"
God's Own Country,"Oct 25, 2017",NR,4.2/5,104 minutes,Francis Lee,"Art House & International,Drama,Romance",
At Berkeley,"Nov 8, 2013",NR,3.7/5,244 minutes,Frederick Wiseman,"Documentary,Drama,Special Interest","$5,069"
Warm Bodies,"Feb 1, 2013",PG-13,3.8/5,97 minutes,Jonathan Levine,Comedy,"$65,000,000"
Sightseers,"May 10, 2013",NR,3.4/5,98 minutes,Ben Wheatley,Comedy,"$26,183"
The Place Beyond The Pines,"Mar 29, 2013",R,3.8/5,141 minutes,Derek Cianfrance,Drama,"$21,300,000"
We Are What We Are,"Sep 27, 2013",R,3.2/5,100 minutes,Jim Mickle,"Drama,Horror,Mystery & Suspense","$54,371"
Hannah Arendt,"May 29, 2013",NR,3.7/5,109 minutes,Margarethe von Trotta,Drama,"$411,530"
The Wolf of Wall Street,"Dec 25, 2013",R,4/5,179 minutes,Martin Scorsese,Drama,"$91,330,760"
Saving Mr. Banks,"Dec 20, 2013",PG-13,4/5,120 minutes,John Lee Hancock,"Comedy,Drama","$53,260,198"
Prisoners,"Sep 20, 2013",R,4.1/5,153 minutes,Denis Villeneuve,"Drama,Mystery & Suspense","$60,962,878"
Computer Chess,"Jul 17, 2013",NR,3.2/5,92 minutes,Andrew Bujalski,Comedy,"$101,218"
Yossi,"Jan 25, 2013",NR,3.7/5,83 minutes,Eytan Fox,Drama,"$77,149"
Narco Cultura,"Nov 22, 2013",R,3.8/5,103 minutes,Shaul Schwarz,"Documentary,Special Interest","$144,405"
Sunshine on Leith,,PG,3.7/5,100 minutes,Dexter Fletcher,Musical & Performing Arts,"$157,892"
The Way Way Back,"Jul 5, 2013",PG-13,4/5,103 minutes,"Jim Rash,Nat Faxon","Comedy,Drama","$21,501,098"
A Place at the Table,"Mar 1, 2013",PG,3.8/5,84 minutes,"Kristi Jacobson,Lori Silverbush",Documentary,"$230,522"
In the House,"Apr 19, 2013",R,3.9/5,105 minutes,François Ozon,Mystery & Suspense,"$469,746"
Upstream Color,"Apr 5, 2013",NR,3.6/5,96 minutes,Shane Carruth,"Drama,Mystery & Suspense,Romance","$415,067"
What Maisie Knew,"May 3, 2013",R,3.9/5,99 minutes,"David Siegel,Scott McGehee",Drama,"$1,000,000"
Iron Man 3,"May 3, 2013",PG-13,4/5,109 minutes,Shane Black,"Action & Adventure,Science Fiction & Fantasy","$408,992,272"
Side Effects,"Feb 8, 2013",R,3.6/5,106 minutes,Steven Soderbergh,"Drama,Mystery & Suspense","$32,154,410"
This Is the End,"Jun 12, 2013",R,3.7/5,107 minutes,"Seth Rogen,Evan Goldberg","Action & Adventure,Comedy,Drama,Horror","$96,200,000"
My Brother The Devil,"Mar 22, 2013",NR,3.7/5,111 minutes,Sally El Hosaini,Drama,"$10,305"
The Angels' Share,"Apr 12, 2013",NR,3.7/5,106 minutes,Ken Loach,"Comedy,Drama","$687,405"
The Punk Singer,"Nov 29, 2013",NR,3.9/5,80 minutes,Sini Anderson,"Documentary,Musical & Performing Arts","$121,418"
Our Nixon,"Aug 30, 2013",NR,3.6/5,84 minutes,,"Documentary,Special Interest","$19,249"
Fill the Void,"May 24, 2013",PG,3.7/5,90 minutes,Rama Burshtein,"Art House & International,Drama","$1,130,272"
Much Ado About Nothing,"Jun 7, 2013",PG-13,3.8/5,108 minutes,Joss Whedon,Comedy,"$4,200,000"
Inequality For All,"Sep 27, 2013",PG,4.2/5,85 minutes,Jacob Kornbluth,"Documentary,Special Interest","$1,205,079"
Gimme The Loot,"Mar 22, 2013",NR,3.4/5,81 minutes,Adam Leon,Drama,"$97,768"
The Conjuring,"Jul 19, 2013",R,4/5,112 minutes,James Wan,"Horror,Mystery & Suspense","$137,387,272"
Mother Of George,"Sep 13, 2013",R,3.5/5,107 minutes,Andrew Dosunmu,Drama,"$145,442"
Caesar Must Die,"Feb 6, 2013",NR,3.7/5,76 minutes,"Paolo Taviani,Vittorio Taviani","Art House & International,Documentary,Drama,Musical & Performing Arts,Special Interest",
We Steal Secrets: The Story Of Wikileaks,"May 24, 2013",R,3.8/5,130 minutes,Alex Gibney,"Documentary,Special Interest","$158,932"
Drug War,"Jul 26, 2013",R,3.7/5,105 minutes,Johnnie To,"Art House & International,Special Interest","$66,221"
After Tiller,"Sep 20, 2013",PG-13,4/5,85 minutes,"Lana Wilson,Martha Shane","Documentary,Drama,Special Interest","$66,275"
Our Children,"Aug 2, 2013",G,3.7/5,111 minutes,Joachim Lafosse,"Art House & International,Drama","$5,500"
The Great Beauty,"Nov 15, 2013",NR,4/5,142 minutes,Paolo Sorrentino,"Comedy,Drama",
A Band Called Death,"Jun 28, 2013",NR,4/5,98 minutes,"Jeff Howlett,Mark Christopher Covino","Documentary,Musical & Performing Arts","$125,856"
Kedi,"Feb 10, 2017",NR,4.1/5,79 minutes,Ceyda Torun,Documentary,"$2,807,328"
Beyond The Hills,"Mar 8, 2013",NR,3.9/5,155 minutes,Cristian Mungiu,"Art House & International,Drama","$71,701"
My Life as a Zucchini (Ma vie de courgette),"Feb 24, 2017",PG-13,4.1/5,66 minutes,Claude Barras,"Animation,Art House & International,Kids & Family","$279,912"
Bright Lights: Starring Carrie Fisher and Debbie Reynolds,,,4.1/5,,,,
Lucky,"Sep 29, 2017",NR,4/5,86 minutes,John Carroll Lynch,"Comedy,Drama","$925,118"
A Ghost Story,"Jul 7, 2017",R,3.5/5,87 minutes,David Lowery,Drama,"$1,594,798"
BPM (Beats Per Minute) (120 battements par minute),"Oct 20, 2017",NR,4/5,146 minutes,Robin Campillo,"Art House & International,Drama","$118,384"
The Lego Batman Movie,"Feb 10, 2017",PG,3.9/5,90 minutes,Chris McKay,"Action & Adventure,Animation,Comedy,Kids & Family","$175,686,290"
Logan Lucky,"Aug 18, 2017",PG-13,3.7/5,119 minutes,Steven Soderbergh,Comedy,"$27,696,504"
City of Ghosts,"Jul 7, 2017",R,4/5,91 minutes,Matthew Heineman,Documentary,"$127,125"
Mudbound,"Nov 17, 2017",R,4/5,134 minutes,Dee Rees,Drama,
The Salesman (Forushande),"Jan 27, 2017",PG-13,4/5,125 minutes,Asghar Farhadi,"Art House & International,Drama,Mystery & Suspense","$11,067"
Blade Runner 2049,"Oct 6, 2017",R,4.1/5,164 minutes,Denis Villeneuve,"Action & Adventure,Drama,Science Fiction & Fantasy","$91,800,042"
"Three Billboards Outside Ebbing, Missouri","Dec 1, 2017",R,4.1/5,115 minutes,Martin McDonagh,"Comedy,Drama","$52,000,189"
Hidden Figures,"Jan 6, 2017",PG,4.4/5,127 minutes,Ted Melfi,Drama,"$169,385,416"
The Disaster Artist,"Dec 8, 2017",R,4/5,104 minutes,James Franco,Comedy,
I Am Not Your Negro,"Feb 3, 2017",PG-13,4.1/5,93 minutes,Raoul Peck,Documentary,"$7,120,626"
War for the Planet of the Apes,"Jul 14, 2017",PG-13,4/5,140 minutes,Matt Reeves,"Action & Adventure,Drama,Science Fiction & Fantasy","$146,872,826"
"Faces Places (Visages, villages)","Oct 6, 2017",PG,4.2/5,90 minutes,"JR,Agnès Varda","Art House & International,Documentary","$900,903"
Thor: Ragnarok,"Nov 3, 2017",PG-13,4.2/5,130 minutes,Taika Waititi,"Action & Adventure,Drama,Science Fiction & Fantasy","$314,971,245"
Baby Driver,"Jun 28, 2017",R,4.1/5,113 minutes,Edgar Wright,"Action & Adventure,Drama","$107,770,367"
Spider-Man: Homecoming,"Jul 7, 2017",PG-13,4.2/5,133 minutes,Jon Watts,"Action & Adventure,Drama,Science Fiction & Fantasy","$334,166,825"
Logan,"Mar 3, 2017",R,4.3/5,135 minutes,James Mangold,"Action & Adventure,Drama,Science Fiction & Fantasy","$226,276,809"
The Florida Project,"Oct 6, 2017",R,3.9/5,115 minutes,Sean Baker (II) ,Drama,"$5,412,775"
Star Wars: The Last Jedi,"Dec 15, 2017",PG-13,2.8/5,152 minutes,Rian Johnson,"Action & Adventure,Drama,Science Fiction & Fantasy","$619,117,636"
The Shape of Water,"Dec 22, 2017",R,3.7/5,119 minutes,Guillermo del Toro,"Drama,Science Fiction & Fantasy,Romance","$57,393,976"
Get Out,"Feb 24, 2017",R,4.2/5,104 minutes,Jordan Peele,"Horror,Mystery & Suspense","$175,428,355"
Dunkirk,"Jul 21, 2017",PG-13,4/5,107 minutes,Christopher Nolan,"Action & Adventure,Drama","$188,042,171"
The Big Sick,"Jul 14, 2017",R,4.1/5,119 minutes,Michael Showalter,"Comedy,Romance","$42,824,653"
Wonder Woman,"Jun 2, 2017",PG-13,4.3/5,141 minutes,Patty Jenkins,"Action & Adventure,Drama,Science Fiction & Fantasy","$412,400,625"
Coco,"Nov 22, 2017",PG,4.5/5,109 minutes,"Lee Unkrich,Adrian Molina","Action & Adventure,Animation,Comedy,Kids & Family","$208,487,719"
Joe,"Apr 11, 2014",R,3.6/5,116 minutes,David Gordon Green,Drama,"$257,588"
Adieu au langage (Goodbye to Language),"Oct 29, 2014",NR,3/5,70 minutes,Jean-Luc Godard,Drama,
Code Black,"Jun 20, 2014",NR,4/5,82 minutes,Ryan McGarry,"Documentary,Special Interest","$150,290"
The Good Lie,"Oct 3, 2014",PG-13,3.9/5,110 minutes,"Philippe Falardeau,Shawn Linden","Drama,Mystery & Suspense",
Closed Curtain,"Jul 9, 2014",NR,3.5/5,106 minutes,"Kambuzia Partovi,Kambozia Partovi,Jafar Panahi",Drama,
Only Lovers Left Alive,"Apr 11, 2014",R,3.8/5,122 minutes,Jim Jarmusch,Drama,
"Like Father, Like Son","Jan 17, 2014",NR,4.1/5,122 minutes,Hirokazu Koreeda,Drama,
Siddharth,"Jun 27, 2014",NR,3.8/5,96 minutes,Richie Mehta,Drama,
The Trip To Italy,"Aug 15, 2014",NR,3.3/5,108 minutes,Michael Winterbottom,"Comedy,Drama",
Wetlands,"Sep 5, 2014",NR,3.5/5,109 minutes,David Wnendt,"Comedy,Drama",
The Kill Team,"Jul 25, 2014",NR,3.7/5,79 minutes,Dan Krauss,"Documentary,Special Interest",
The Blue Room (La chambre bleue),"Oct 3, 2014",R,3.2/5,76 minutes,Mathieu Amalric,"Drama,Mystery & Suspense",
Night Moves,"May 30, 2014",R,3/5,112 minutes,Kelly Reichardt,Drama,
A Field in England,"Feb 7, 2014",NR,3.3/5,90 minutes,Ben Wheatley,"Drama,Horror","$30,716"
To Be Takei,"Aug 22, 2014",NR,3.8/5,94 minutes,"Jennifer M. Kroot,Bill Weber","Documentary,Special Interest","$51,481"
Omar,"Feb 21, 2014",NR,4/5,96 minutes,Hany Abu-Assad,Drama,
Art and Craft,"Sep 19, 2014",NR,3.7/5,89 minutes,"Sam Cullman,Jennifer Grausman","Documentary,Special Interest","$227,934"
Venus in Fur,"Jun 20, 2014",NR,3.7/5,96 minutes,Roman Polanski,"Comedy,Drama","$153,625"
Cheap Thrills,"Mar 21, 2014",NR,3.6/5,85 minutes,E.L. Katz,"Comedy,Mystery & Suspense",
22 Jump Street,"Jun 13, 2014",R,3.9/5,110 minutes,"Phil Lord,Christopher Miller","Action & Adventure,Comedy","$154,295,930"
The Dog,"Aug 8, 2014",NR,3.6/5,101 minutes,"Allison Berg,François Keraudren","Documentary,Drama","$44,569"
Under the Skin,"Apr 4, 2014",R,3.2/5,108 minutes,Jonathan Glazer,Science Fiction & Fantasy,"$2,326,121"
The Skeleton Twins,"Sep 12, 2014",R,3.6/5,93 minutes,Craig Johnson,"Comedy,Drama",
Top Five,"Dec 12, 2014",R,3.5/5,101 minutes,Chris Rock,Comedy,"$17,002,433"
12 O'clock Boys,"Jan 31, 2014",NR,3.6/5,76 minutes,Lotfy Nathan,"Documentary,Special Interest","$44,108"
Disneynature Bears,"Apr 18, 2014",G,4/5,78 minutes,"Alastair Fothergill,Keith Scholey,Adam Chapman",Kids & Family,"$17,769,442"
Mistaken for Strangers,"Mar 28, 2014",G,4/5,75 minutes,Tom Berninger,"Comedy,Documentary,Musical & Performing Arts","$103,632"
She's Beautiful When She's Angry,"Dec 5, 2014",NR,4.2/5,87 minutes,Mary Dore,"Documentary,Special Interest",
The Internet's Own Boy: The Story of Aaron Swartz,"Jun 27, 2014",R,4.2/5,105 minutes,Brian Knappenberger,"Documentary,Special Interest","$48,911"
Le Week-End,"Mar 14, 2014",R,3.3/5,93 minutes,Roger Michell,Drama,
Chef,"May 9, 2014",R,4/5,115 minutes,Jon Favreau,Comedy,"$23,678,226"
A Most Wanted Man,"Jul 25, 2014",R,3.5/5,121 minutes,Anton Corbijn,"Drama,Mystery & Suspense","$14,037,964"
Tim's Vermeer,"Jan 31, 2014",PG-13,4.1/5,80 minutes,Teller,"Documentary,Drama,Special Interest","$1,670,806"
The Wind Rises,"Feb 21, 2014",PG-13,4.1/5,126 minutes,Hayao Miyazaki,"Animation,Art House & International,Drama",
The Dance of Reality,"May 23, 2014",NR,4/5,130 minutes,Alejandro Jodorowsky,Drama,
John Wick,"Oct 24, 2014",R,3.9/5,96 minutes,"David Leitch,Chad Stahelski",Action & Adventure,
The Normal Heart,,R,4.2/5,133 minutes,Ryan Murphy,"Drama,Television",
Dear White People,"Oct 17, 2014",R,3.4/5,108 minutes,Justin Simien,"Comedy,Drama",
Child's Pose,"Feb 19, 2014",NR,3.7/5,112 minutes,Calin Peter Netzer,Drama,"$94,853"
Stranger by the Lake,"Jan 24, 2014",NR,3.4/5,97 minutes,Alain Guiraudie,"Drama,Mystery & Suspense",
In Bloom,"Jan 10, 2014",NR,3.8/5,102 minutes,"Nana Ekvtimishvili,Simon Gross",Drama,"$31,689"
Pride,"Sep 26, 2014",R,4.2/5,120 minutes,Matthew Warchus,"Comedy,Drama",
The Guest,"Sep 17, 2014",R,3.6/5,97 minutes,Adam Wingard,Mystery & Suspense,"$642,285"
Calvary,"Aug 1, 2014",R,3.9/5,100 minutes,John Michael McDonagh,"Art House & International,Comedy,Drama","$5,030,432"
Still Mine,"Jul 12, 2013",PG-13,4/5,102 minutes,Michael McGowan,Drama,"$1,154,466"
Blue Is The Warmest Color,"Oct 25, 2013",NC17,4.1/5,187 minutes,Abdel Kechiche,Drama,"$46,024,509"
War Witch,"Mar 1, 2013",NR,3.8/5,90 minutes,Kim Nguyen (IV),Drama,"$28,620"
Diplomacy,"Oct 15, 2014",NR,3.8/5,85 minutes,Volker Schlöndorff,Drama,
The History Of Future Folk,"May 31, 2013",NR,4.1/5,85 minutes,"J. Anderson Mitchell,Jeremy Kipp Walker",Comedy,"$15,943"
Star Trek Into Darkness,"May 16, 2013",PG-13,4.2/5,131 minutes,J.J. Abrams,Science Fiction & Fantasy,"$228,756,232"
The Sapphires,"Mar 22, 2013",PG-13,3.8/5,98 minutes,Wayne Blair,"Comedy,Drama,Musical & Performing Arts","$2,400,000"
The Hunt (Jagten),"Jul 12, 2013",R,4.3/5,111 minutes,Thomas Vinterberg,Drama,"$610,968"
Philomena,"Nov 22, 2013",PG-13,4.1/5,98 minutes,Stephen Frears,Drama,
A Touch of Sin,"Oct 4, 2013",NR,3.7/5,125 minutes,Zhangke Jia,Drama,
Cutie And The Boxer,"Aug 16, 2013",R,3.8/5,82 minutes,Zachary Heinzerling,"Documentary,Special Interest","$199,274"
I Am Divine,"Oct 25, 2013",NR,4/5,90 minutes,Jeffrey Schwarz,"Documentary,Special Interest","$60,003"
In a World...,"Aug 9, 2013",R,3.6/5,91 minutes,Lake Bell,"Comedy,Drama","$2,041,184"
The Crash Reel,"Dec 13, 2013",G,4.5/5,109 minutes,Lucy Walker,"Documentary,Sports & Fitness",
Museum Hours,"Jun 28, 2013",NR,3.4/5,106 minutes,Jem Cohen,Drama,"$124,184"
The World's End,"Aug 23, 2013",R,3.7/5,109 minutes,Edgar Wright,Comedy,"$33,408,732"
Lore,"Feb 8, 2013",NR,3.8/5,108 minutes,Cate Shortland,"Art House & International,Drama","$657,666"
Le passé (The Past),"Dec 20, 2013",PG-13,3.9/5,130 minutes,Asghar Farhadi,Drama,
The Gatekeepers,"Feb 1, 2013",PG-13,3.9/5,101 minutes,Dror Moreh,"Documentary,Special Interest","$2,408,553"
Blue Jasmine,"Jul 26, 2013",PG-13,3.8/5,98 minutes,Woody Allen,Comedy,
The Spectacular Now,"Aug 2, 2013",R,3.8/5,95 minutes,James Ponsoldt,"Comedy,Drama,Romance",
Room 237,"Mar 29, 2013",NR,3.3/5,102 minutes,Rodney Ascher,"Documentary,Horror,Television","$181,283"
Rush,"Sep 27, 2013",R,4.1/5,123 minutes,Ron Howard,"Action & Adventure,Drama","$22,442,876"
Blancanieves,"Mar 29, 2013",PG-13,4/5,105 minutes,Pablo Berger,"Art House & International,Drama","$236,394"
Muscle Shoals,"Sep 27, 2013",PG,4.2/5,111 minutes,"Greg 'Freddy' Camalier,Greg Camalier","Documentary,Musical & Performing Arts,Special Interest","$695,625"
Frances Ha,"May 17, 2013",R,3.8/5,86 minutes,Noah Baumbach,Comedy,"$3,900,000"
Behind the Candelabra,"May 26, 2013",NR,3.6/5,118 minutes,Steven Soderbergh,"Drama,Television","$1,631,647"
No,"Feb 15, 2013",R,3.8/5,117 minutes,Pablo Larraín,"Art House & International,Drama","$2,341,226"
Stories We Tell,"May 10, 2013",PG-13,3.9/5,108 minutes,Sarah Polley,Documentary,"$1,599,038"
A Hijacking,"Jun 21, 2013",R,3.7/5,99 minutes,Tobias Lindholm,Mystery & Suspense,"$269,428"
Call Me Kuchu,"Jun 14, 2013",NR,4.1/5,87 minutes,"Katherine Fairfax Wright,Malika Zouhali-Worrall","Documentary,Drama,Special Interest","$8,941"
Frozen,"Nov 27, 2013",PG,4.2/5,102 minutes,Chris Buck,"Action & Adventure,Animation,Comedy,Kids & Family","$400,736,600"
Let The Fire Burn,"Oct 2, 2013",NR,4.2/5,95 minutes,Jason Osder,"Documentary,Special Interest","$59,033"
The Hunger Games: Catching Fire,"Nov 22, 2013",PG-13,4.3/5,146 minutes,Francis Lawrence,"Action & Adventure,Science Fiction & Fantasy","$336,663,349"
Nebraska,"Nov 15, 2013",R,4/5,115 minutes,Alexander Payne,Drama,"$11,348,612"
The Act Of Killing,"Jul 19, 2013",NR,4.2/5,116 minutes,"Joshua Oppenheimer,Christine Cynn","Documentary,Special Interest","$281,592"
Sound City,"Feb 1, 2013",NR,4.3/5,108 minutes,Dave Grohl,"Documentary,Musical & Performing Arts","$419,361"
Fruitvale Station,"Jul 26, 2013",R,4.1/5,84 minutes,Ryan Coogler,Drama,"$11,010,136"
Enough Said,"Sep 18, 2013",PG-13,3.7/5,93 minutes,Nicole Holofcener,"Comedy,Drama,Romance",
56 Up,"Jan 4, 2013",NR,3.9/5,139 minutes,"Michael Apted,Paul Almond","Documentary,Special Interest","$701,278"
The Square (Al Midan),"Oct 25, 2013",NR,4.2/5,104 minutes,Jehane Noujaim,"Documentary,Special Interest","$88,569"
Zero Dark Thirty,"Jan 11, 2013",R,4/5,157 minutes,Kathryn Bigelow,Drama,"$95,720,716"
The Selfish Giant,"Dec 20, 2013",NR,3.9/5,91 minutes,Clio Barnard,Drama,"$12,189"
Inside Llewyn Davis,"Dec 6, 2013",R,3.7/5,105 minutes,"Ethan Coen,Joel Coen",Drama,"$9,666,762"
Dallas Buyers Club,"Nov 1, 2013",R,4.2/5,117 minutes,Jean-Marc Vallée,Drama,"$23,750,994"
American Hustle,"Dec 20, 2013",R,3.8/5,129 minutes,David O. Russell,Drama,"$99,165,609"
Wadjda,"Sep 13, 2013",PG,4.1/5,100 minutes,Haifaa Al-Mansour,Drama,"$1,023,558"
Blackfish,"Jul 19, 2013",PG-13,4.2/5,80 minutes,Gabriela Cowperthwaite,"Documentary,Special Interest","$1,279,789"
All Is Lost,"Oct 18, 2013",PG-13,3.5/5,105 minutes,J.C. Chandor,"Action & Adventure,Mystery & Suspense","$4,300,353"
Mud,"Apr 26, 2013",PG-13,3.9/5,131 minutes,Jeff Nichols,Drama,"$21,589,307"
Captain Phillips,"Oct 11, 2013",PG-13,4.2/5,134 minutes,Paul Greengrass,Drama,"$107,100,855"
Obvious Child,"Jun 6, 2014",R,3.7/5,83 minutes,Gillian Robespierre,"Comedy,Romance",
Lady Bird,"Nov 3, 2017",R,4/5,93 minutes,Greta Gerwig,"Comedy,Drama","$48,285,330"
20 Feet From Stardom,"Jun 14, 2013",PG-13,4/5,89 minutes,Morgan Neville,"Documentary,Musical & Performing Arts",
Last Days in Vietnam,"Sep 5, 2014",NR,4/5,98 minutes,Rory Kennedy,"Documentary,Special Interest","$408,651"
The Drop,"Sep 12, 2014",R,3.7/5,106 minutes,Michaël R. Roskam,Drama,"$8,709,169"
Manakamana,"Apr 18, 2014",NR,3.5/5,118 minutes,"Stephanie Spray,Pacho Velez","Documentary,Special Interest",
Foxcatcher,"Nov 14, 2014",R,3.5/5,130 minutes,Bennett Miller,Drama,"$9,744,477"
National Gallery,"Nov 5, 2014",NR,3.6/5,180 minutes,Frederick Wiseman,"Documentary,Special Interest",
Big Hero 6,"Nov 7, 2014",PG,4.3/5,93 minutes,"Chris Williams (IX) ,Don Hall","Animation,Kids & Family",
Particle Fever,"Mar 5, 2014",NR,4/5,99 minutes,Mark Levinson,Documentary,"$869,838"
Frank,"Aug 15, 2014",R,3.7/5,95 minutes,Lenny Abrahamson,"Comedy,Drama",
Finding Vivian Maier,"Mar 21, 2014",NR,4.1/5,84 minutes,"Charlie Siskel,John Maloof","Documentary,Special Interest",
Locke,"Apr 25, 2014",R,3.6/5,85 minutes,Steven Knight,"Drama,Mystery & Suspense","$1,326,469"
The Last of the Unjust,"Feb 7, 2014",PG-13,3.9/5,220 minutes,Claude Lanzmann,"Documentary,Special Interest",
"20,000 Days on Earth","Sep 17, 2014",NR,3.9/5,97 minutes,"Iain Forsyth,Jane Pollard","Documentary,Musical & Performing Arts,Special Interest",
The Rocket,"Jan 10, 2014",NR,4/5,96 minutes,Kim Mordaunt,Drama,
Keep On Keepin' On,"Sep 19, 2014",R,4.3/5,86 minutes,Alan Hicks,"Documentary,Musical & Performing Arts","$162,530"
Wild,"Dec 3, 2014",R,3.8/5,115 minutes,Jean-Marc Vallée,Drama,"$24,673,716"
Force Majeure,"Oct 24, 2014",R,3.7/5,120 minutes,Ruben Östlund,"Art House & International,Comedy,Drama",
How to Train Your Dragon 2,"Jun 13, 2014",PG,4.3/5,105 minutes,Dean DeBlois,"Action & Adventure,Animation,Kids & Family,Science Fiction & Fantasy","$147,065,544"
The Lunchbox,"Feb 28, 2014",PG,4.1/5,104 minutes,Ritesh Batra,"Drama,Romance","$4,231,500"
A Girl Walks Home Alone at Night,"Nov 21, 2014",NR,3.8/5,104 minutes,Ana Lily Amirpour,"Horror,Mystery & Suspense,Romance",
Ernest & Célestine,"Feb 28, 2014",PG,4.2/5,80 minutes,"Vincent Patar,Benjamin Renner,Stéphane Aubier","Animation,Art House & International,Science Fiction & Fantasy","$71,442"
